# Verb vocabulary harvested from a corpus of interactive fiction.
#
# Regenerate:
#   verb-synonyms-gen harvest --corpus stories --corpus unit_tests \
#       --wordnet <WordNet-3.0/dict> --freq <12dicts/Lemmatized/2+2+3frq.txt> -o …
#
# Tab-separated: spelling, the number of stories whose parser accepts it, and
# the WordNet verb lemma to expand it under (empty when WordNet has no verb
# entry, which is most of the abbreviations, magic words and game-specific
# actions).  A spelling containing a space is a verb plus a literal word from
# one of its syntax lines — `turn on`, `pick up` — which is how English
# lexicalises them and how a thesaurus indexes them, even though a dictionary
# can only hold the head word.
#
# These are the STORIES' OWN spellings and are ground truth: a suggestion the
# parser would reject is worthless.  An inflected spelling is dropped only when
# every story that accepts it also accepts its base form.
#
# 149 stories read; 15454 spellings.
bend	8	bend
bend back	1	
bend key	1	
bend out	1	
bend the	1	
bend with	1	
bepe	1	
bertrand	1	
bestow	10	bestow
bestow cut	1	
bestow direct	1	
bestow off	1	
bestow on	1	
bestow over	1	
bestow the	1	
bestow to	9	
bestow up	1	
bet	3	bet
bet with	1	
betray	1	betray
betray to	1	
bide	1	bide
bide awhile	1	
bide my	1	
bide one	1	
bide some	1	
bide the	1	
bide these	1	
bide those	1	
bide time	1	
bide while	1	
bie	1	
bind	2	bind
birth	1	birth
bitch	2	bitch
bitch about	1	
bitch of	1	
bite	53	bite
bite buckle	1	
bite collar	1	
bite down	1	
bite into	1	
bite me	1	
bite on	1	
bite the	1	
bite with	1	
black	1	black
black salon	1	
blackbird	1	
blackbird pie	1	
blackbird pies	1	
blackmail	1	blackmail
blade	1	
blarn	1	
blas	4	
blast	19	blast
blast at	11	
blast off	1	blast off
blast on	1	
blast with	13	
blastoff	1	
blazon	1	blazon
blazon off	1	
blazon to	1	
bleed	1	bleed
bleed on	1	
bleem	2	
bleep	2	bleep
bless	3	bless
bless you	1	
blind	17	blind
blind at	1	
blind on	1	
blind with	17	
blindfold	2	blindfold
blindfold with	2	
blink	4	blink
blitz	1	blitz
blo	1	
bloc	1	
block	21	block
block beneath	1	
block down	6	
block in	4	
block into	1	
block open	1	
block over	4	
block under	1	
block up	5	block up
block window	1	
block with	17	
bloop	1	
blorb	1	
blorpl	1	
blow	67	blow
blow at	6	
blow in	21	
blow into	3	
blow on	21	
blow onto	1	
blow out	41	blow out
blow throug	2	
blow through	9	
blow up	20	blow up
blow with	9	
blubber	1	blubber
blush	1	blush
boar	2	
board	38	board
board down	2	
board in	3	
board off	1	
board on	3	
board out	2	
board over	1	
board throug	2	
board to	1	
board up	2	board up
boast	2	boast
body	4	body
body surf	1	
bodysurf	1	
bog	2	bog
boil	1	boil
bok	1	
boleyn	1	
boll	12	
bolt	1	bolt
bolt to	1	
bolt with	1	
boltep	1	
boo	4	boo
boo at	1	
boo for	1	
boogie	1	boogie
book	1	book
boop	2	
boost	8	boost
boost out	1	
boost to	1	
boost up	8	boost up
boost with	1	
boot	1	boot
bop	1	bop
bop with	1	
borrow	1	borrow
bot	1	
both	1	
bother	25	bother
bottlenos	1	
bottlenos dolphin	1	
boun	2	
bounce	10	bounce
bounce across	1	
bounce around	3	
